asin,title,new_price,list_price,rating,rating_count,image_url
B07MFZXR1B,SAMSUNG 970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM),162.23,174.95,4.8 out of 5 stars,"58,728 ratings",https://m.media-amazon.com/images/I/51Brl+iYtvL._AC_SX355_.jpg
B07CRG7BBH,"Seagate Portable 1TB External Hard Drive HDD – USB 3.0 for PC, Mac, PlayStation, & Xbox, 1-Year Rescue Service (STGX1000400) , Black",59.99,64.99,4.6 out of 5 stars,"261,992 ratings",https://m.media-amazon.com/images/I/81tjLksKixL._AC_SY355_.jpg
B07VS8QCXC,"Seagate Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX5000400), Black",119.99,129.99,4.6 out of 5 stars,"261,992 ratings",https://m.media-amazon.com/images/I/71OMBvpTLvL._AC_SY355_.jpg
